createdAt;orderId;fulfillmentId;type;channel;location;sku;treatmentQuantity;acquisitionType;stockType;reason;treatmentType;totalOrPartial;registeredAt;situation
2026-08-15T19:08:55.000Z;1654432443668;01;SHIPMENT;lancaperfume;LP MANAUS PONTA NEGRA;502RG001313-A0001PP;1;PURCHASE;PHYSICAL;SYSTEM_ERROR;STOCKOUT;total;2026-08-15T20:05:21.000Z;processed
2026-08-05T12:50:31.000Z;1651972427081;01;SHIPMENT;lancaperfume;LP CURITIBA BARIGUI;502VE012608-A3842M;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-08-15T20:08:04.000Z;processed
2026-08-05T01:25:17.000Z;1651852426565;03;SHIPMENT;lancaperfume;LP CURITIBA BARIGUI;502BZ001078-A4663P;1;PURCHASE;PHYSICAL;SYSTEM_ERROR;STOCKOUT;total;2026-08-15T20:15:54.000Z;processed
2026-08-05T01:25:17.000Z;1651852426565;03;SHIPMENT;lancaperfume;LP CURITIBA BARIGUI;502SH001968-A4663P;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-08-15T20:15:54.000Z;processed
2026-08-05T02:23:28.000Z;1651862426665;01;SHIPMENT;lancaperfume;LP CURITIBA BARIGUI;501SH003125-A000440;1;PURCHASE;PHYSICAL;SYSTEM_ERROR;STOCKOUT;total;2026-08-15T20:18:19.000Z;processed
2026-08-05T02:23:28.000Z;1651862426665;01;SHIPMENT;lancaperfume;LP CURITIBA BARIGUI;533LG000018-A0003G;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-08-15T20:18:19.000Z;processed
2026-08-05T02:23:28.000Z;1651862426665;01;SHIPMENT;lancaperfume;LP CURITIBA BARIGUI;538OB000805-A4645U;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-08-15T20:18:19.000Z;processed
2026-08-05T00:54:41.000Z;1651852426501;02;SHIPMENT;lancaperfume;LP CURITIBA BARIGUI;538OB000779-A4513U;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-08-15T20:21:17.000Z;processed
2026-08-05T00:54:41.000Z;1651852426501;02;SHIPMENT;lancaperfume;LP CURITIBA BARIGUI;538OB000781-A4513U;1;PURCHASE;PHYSICAL;NOT_FOUND;STOCKOUT;total;2026-08-15T20:21:17.000Z;processed
2026-08-05T00:54:41.000Z;1651852426501;02;SHIPMENT;lancaperfume;LP CURITIBA BARIGUI;538OB000797-A4645U;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-08-15T20:21:17.000Z;processed
2026-08-05T00:54:41.000Z;1651852426501;02;SHIPMENT;lancaperfume;LP CURITIBA BARIGUI;538OB000811-A4201U;0;PURCHASE;PHYSICAL;;STOCKOUT;partial;2026-08-15T20:21:17.000Z;processed
2026-08-08T23:03:36.000Z;1652792434077;02;SHIPMENT;lancaperfume;LP BAL CAMBORIU AV.BRASIL;502SH001784-A0001GG;1;PURCHASE;PHYSICAL;SYSTEM_ERROR;STOCKOUT;total;2026-08-15T20:33:52.000Z;processed
2026-08-09T17:58:45.000Z;1652982434958;02;SHIPMENT;lancaperfume;LP BAL CAMBORIU AV.BRASIL;502MA001992-A4521M;1;PURCHASE;PHYSICAL;SYSTEM_ERROR;STOCKOUT;total;2026-08-15T20:53:54.000Z;processed
2026-08-09T20:07:45.000Z;1653002435112;02;SHIPMENT;lancaperfume;LP BAL CAMBORIU AV.BRASIL;502BL009978-A4539PP;1;PURCHASE;PHYSICAL;SYSTEM_ERROR;STOCKOUT;total;2026-08-15T20:54:16.000Z;processed
2026-08-12T21:38:15.000Z;1653742439987;02;SHIPMENT;lancaperfume;LP SAO PAULO-ANALIAFRANCO;502BL009871-A4415P;1;PURCHASE;PHYSICAL;SYSTEM_ERROR;STOCKOUT;total;2026-08-15T23:00:41.000Z;processed
